scenario,run,algorithm,fe,objective
S2,0,PSO,44,1.0835200348125824
S2,0,PSO,49,1.0835200348125824
S2,0,PSO,54,0.929424476622123
S2,0,PSO,59,0.929424476622123
S2,0,PSO,64,0.929424476622123
S2,0,PSO,69,0.929424476622123
S2,0,PSO,74,0.929424476622123
S2,0,PSO,79,0.929424476622123
S2,0,PSO,84,0.9280553960065514
S2,0,PSO,89,0.9280553960065514
S2,0,PSO,94,0.9280553960065514
S2,0,PSO,99,0.8798275797274694
S2,0,PSO,104,0.8688083102524106
S2,0,PSO,109,0.8688083102524106
S2,0,PSO,114,0.8315359069097119
S2,0,PSO,119,0.8315359069097119
S2,0,PSO,124,0.8315359069097119
S2,0,PSO,129,0.8315359069097119
S2,0,PSO,134,0.8315359069097119
S2,0,PSO,139,0.8315359069097119
S2,0,PSO,144,0.8315359069097119
S2,0,PSO,149,0.8315359069097119
S2,0,PSO,154,0.7567839329902857
S2,0,PSO,159,0.7567839329902857
S2,0,PSO,164,0.7567839329902857
S2,0,PSO,169,0.7567839329902857
S2,0,PSO,174,0.7567839329902857
S2,0,PSO,179,0.7567839329902857
S2,0,PSO,184,0.7567839329902857
S2,0,PSO,189,0.7567839329902857
S2,0,PSO,194,0.7567839329902857
S2,0,PSO,199,0.7206764499390128
S2,0,PSO,204,0.7206764499390128
S2,0,PSO,209,0.7206764499390128
S2,0,PSO,214,0.7206764499390128
S2,0,PSO,219,0.7206764499390128
S2,0,PSO,224,0.7206764499390128
S2,0,PSO,229,0.7206764499390128
S2,0,PSO,234,0.7206764499390128
S2,0,PSO,239,0.7121230090886341
S2,0,PSO,244,0.7121230090886341
S2,0,PSO,249,0.6556781322725278
S2,0,PSO,254,0.6556781322725278
S2,0,PSO,259,0.6556781322725278
S2,0,PSO,264,0.6556781322725278
S2,0,PSO,269,0.6556781322725278
S2,0,PSO,274,0.6556781322725278
S2,0,PSO,279,0.6544768642342533
S2,0,PSO,284,0.6544768642342533
S2,0,PSO,289,0.6544768642342533
S2,0,PSO,294,0.6443533534364094
S2,0,PSO,299,0.621378152580729
S2,0,PSO,304,0.621378152580729
S2,0,PSO,309,0.621378152580729
S2,0,PSO,314,0.621378152580729
S2,0,PSO,319,0.621378152580729
S2,0,PSO,324,0.621378152580729
S2,0,PSO,329,0.621378152580729
S2,0,PSO,334,0.621378152580729
S2,0,PSO,339,0.621378152580729
S2,0,PSO,344,0.621378152580729
S2,0,PSO,349,0.621378152580729
S2,0,PSO,354,0.621378152580729
S2,0,PSO,359,0.621378152580729
S2,0,PSO,364,0.621378152580729
S2,0,PSO,369,0.5898496312063574
S2,0,PSO,374,0.5898496312063574
S2,0,PSO,379,0.5898496312063574
S2,0,PSO,384,0.5892960196541508
S2,0,PSO,389,0.5497863237444589
S2,0,PSO,394,0.5497863237444589
S2,0,PSO,399,0.5497863237444589
S2,0,PSO,404,0.5497863237444589
S2,0,PSO,409,0.5497863237444589
S2,0,PSO,414,0.5497863237444589
