scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,ood_case
S3,13,Standard-ABC,0.8549651139612133,2.0796797979918136,5.4307517356143435,0.19852005311043266,0.25,0.75,0.9091835637664256,0.9977698343996724,0.0022301656003275837,1.065324677586513,0.8548369001153234,0.2701332439061158,0.1960606644015693,0.41208469647711704,0.3,0.6816456000087783,350,1,1.837397070876634,0.9290512058393867,0.0022301656003275837,0.9361506690535194,0.14516309988467657,bursty_heavy_load
S3,13,Delay-Greedy,0.4643363343991264,1.2779010006646803,3.1415372338053698,0.19230514187943817,0.45,0.55,0.33547630349513197,0.9977287896736836,0.0022712103263162887,1.0257710782181526,0.9413264558711455,0.4147754698558282,0.2378986985788154,0.2496611857198363,0.9,0.00442110002040863,1,1,0.9320764287060717,1.0964434825572555,0.0022712103263162887,0.23038172461771506,0.058673544128854505,bursty_heavy_load
S3,14,RFOTO-ABC,0.36299917961625927,0.9699071800587465,3.142614285820862,0.11305492392198953,0.76,0.24,0.1588116813083818,0.9988591046159585,0.001140895384041376,1.0169363689157471,0.9673380167786695,0.4833583361583467,0.28566051723832175,0.18375203084910857,0.64,0.6733550999779254,350,1,0.8094579782944056,0.7614127622587381,0.001140895384041376,0.1651811765753573,0.032661983221330515,bursty_heavy_load
S3,14,Standard-ABC,0.7718797531953888,1.7095922331524045,4.544447503275981,0.21994431712905413,0.37,0.63,0.6846687500330378,0.9968687094226962,0.003131290577303646,1.038543298903361,0.8804789743473399,0.30080851986022916,0.2340549960330427,0.36843651090286333,0.4,0.7042448999127373,350,1,1.5191482543190598,1.356506914777375,0.003131290577303646,0.680248961742632,0.1195210256526601,bursty_heavy_load
S3,14,Delay-Greedy,0.4138699411246896,1.1086397331828002,3.142614285820862,0.1256941302109347,0.51,0.49,0.22217080097912498,0.9984497930274447,0.0015502069725553292,1.0191234261407092,0.9594827955415708,0.4660484628671241,0.28566051723832175,0.20549494381762679,0.89,0.004238300025463104,1,1,0.8726599180937038,0.9435368269793669,0.0015502069725553292,0.1911472619643326,0.04051720445842921,bursty_heavy_load
S5,0,RFOTO-ABC,0.35775911551388506,0.9056183205217176,2.388152000442796,0.09833713736724022,0.72,0.28,0.16007573828574878,0.998683126689204,0.0013168733107960058,1.0168010887245407,0.9664170275240037,0.4611033844708497,0.3241911372616622,0.186413465450537,0.6333333333333333,1.0314496000064537,350,1,0.8362847405644265,0.6703194975633336,0.0013168733107960058,0.17135674081887897,0.03358297247599629,strong_server_heterogeneity
S5,0,Standard-ABC,0.7043688489267563,1.6582230023021771,5.083703792371349,0.17079974859450792,0.30666666666666664,0.6933333333333334,0.6539966228238238,0.9973978009237366,0.0026021990762635575,1.0817910579744108,0.8875927325849458,0.2805823647705491,0.21806425360037968,0.3558691379941533,0.21333333333333335,1.0679668999509886,350,1,1.528131784535725,0.9469924543236747,0.0026021990762635575,0.6516220188670518,0.11240726741505425,strong_server_heterogeneity
S5,0,Delay-Greedy,0.3788713610624715,0.970287987759273,2.2544030550588015,0.09058911973691004,0.6533333333333333,0.3466666666666667,0.17163989602025112,0.9975146372892514,0.002485362710748586,1.0303169408576163,0.9644096367487913,0.4357252186346645,0.3241911372616622,0.1921035717196605,0.8733333333333333,0.006745600025169551,1,1,0.8673017886588079,0.7652505538313729,0.002485362710748586,0.16569081517293044,0.03559036325120868,strong_server_heterogeneity
S5,1,RFOTO-ABC,0.33122445108800463,0.7753264520681883,1.490093559632838,0.08119481971299204,0.74,0.26,0.09953810918247424,0.998556141498248,0.0014438585017521703,1.0219157816487219,0.9800823249722457,0.5922395358876233,0.32129562030982556,0.1425568342893144,0.6666666666666666,1.1278855999698862,350,1,0.8048326665193308,0.6379284492008906,0.0014438585017521703,0.12420237649409882,0.019917675027754322,strong_server_heterogeneity
S5,1,Standard-ABC,0.654196397399342,1.4715739089106625,3.802613572779333,0.1365823092431657,0.32,0.68,0.6367316332911535,0.9996861399455084,0.00031386005449160964,1.02449228859193,0.8897489516210136,0.31585264233620003,0.23956409238396856,0.3520121238018577,0.25333333333333335,1.0532927999738604,350,1,1.4435521943165723,0.8412477392820219,0.00031386005449160964,0.6020830346405976,0.11025104837898636,strong_server_heterogeneity
