scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,w_fairness
S3,12,RFOTO-ABC,0.3682008044606782,0.8808992423408469,2.2225200703508543,0.12485253762483545,0.73,0.27,0.12353953079886466,0.9994416495707048,0.0005583504292949936,1.013543910630627,0.9751706630839473,0.5579982528255305,0.3470590974004963,0.15956669395055134,0.67,0.6716929000103846,350,1,0.7524332956960218,0.8873021810026457,0.0005583504292949936,0.09633956048656378,0.024829336916052713,0.1
S3,13,RFOTO-ABC,0.31824202695771975,0.7919733723060925,1.7875411136636223,0.09673682060515792,0.79,0.21,0.1127613609454043,0.9997820922418417,0.00021790775815830777,1.0117609426421297,0.9769903861926392,0.569791777902405,0.29632685876703146,0.15346506217801523,0.63,0.6398800999158993,350,1,0.6814628409629007,0.7265556933698271,0.00021790775815830777,0.0759845534328371,0.023009613807360774,0.1
S3,14,RFOTO-ABC,0.30841926424336547,0.6699950064259329,1.6379489017544053,0.08521888975705114,0.81,0.19,0.0920106507263096,0.9997614848621886,0.00023851513781132815,1.0073050863004263,0.9816425315125739,0.6538166726591577,0.27290782611704895,0.1367507485631736,0.68,0.682113999966532,350,1,0.6676908089799695,0.6696193555783843,0.00023851513781132815,0.08855116460910437,0.018357468487426143,0.1
S3,0,RFOTO-ABC,0.2934414499818241,0.8598735513288868,1.7276199018093519,0.10118306225247659,0.75,0.25,0.10858521042679808,0.9976283350341123,0.002371664965887814,1.0091370449362438,0.9771899501980388,0.6099245255130716,0.350255312402917,0.1527825030399647,0.7,0.6411485000280663,350,1,0.6991503515909965,0.7301455599215478,0.002371664965887814,0.08860260057445013,0.02281004980196122,0.2
S3,1,RFOTO-ABC,0.29814542923198606,0.7293561603448047,1.7723060264939883,0.08288564882846515,0.79,0.21,0.12590229279103204,0.998112335560923,0.001887664439076928,1.0158464768158493,0.9736945641596632,0.5726127416679643,0.27116629861750025,0.16436576982763487,0.66,0.657024799962528,350,1,0.6672887275115332,0.8254216612764838,0.001887664439076928,0.08070659794296924,0.026305435840336844,0.2
S3,2,RFOTO-ABC,0.3049318579419434,0.7872108484542756,1.712487188389033,0.10529269266820837,0.8,0.2,0.0958635061712439,0.9987334840019912,0.0012665159980089057,1.0136878758657777,0.9807638589199679,0.5812838300765681,0.25625539637920697,0.1400479480148219,0.71,0.6775134999770671,350,1,0.7272534201164454,0.7544879849581559,0.0012665159980089057,0.09865025244548635,0.019236141080032132,0.2
S3,3,RFOTO-ABC,0.33089586694456746,0.7974987309486633,1.6133490641541732,0.10040577134386566,0.73,0.27,0.13339285401165746,0.998264122401291,0.0017358775987089937,1.0153407846273688,0.9729975905668892,0.546684370645481,0.28157030672755223,0.16658863767563933,0.65,0.6817526998929679,350,1,0.773251109031183,0.8239883587518365,0.0017358775987089937,0.11432256013501549,0.02700240943311083,0.2
S3,4,RFOTO-ABC,0.3515093857653796,0.9069321929846673,2.076594617052895,0.1173147108307587,0.64,0.36,0.14821257154672515,0.9990288629590894,0.0009711370409105957,1.0128103614678454,0.9718531052239818,0.5003008918486981,0.3096759908378046,0.17018251263988976,0.71,0.6219097999855876,350,1,0.7797166180102189,0.88538853387565,0.0009711370409105957,0.1582633809749105,0.028146894776018172,0.2
S3,5,RFOTO-ABC,0.33892050226975745,0.9032636565204061,2.217351074428767,0.10015269756530369,0.68,0.32,0.15864658065283013,0.9997304032948928,0.0002695967051071779,1.013244715348129,0.9699426223438027,0.5943150543136928,0.25718074820089315,0.17603641763009406,0.75,0.6695761000737548,350,1,0.7594673122460637,0.8925176064623827,0.0002695967051071779,0.11966981015112242,0.030057377656197315,0.2
S3,6,RFOTO-ABC,0.37102178772031374,0.8404837869764734,1.676775791202929,0.11230943689048799,0.77,0.23,0.1272331723159239,0.9992006256153257,0.0007993743846743817,1.0196186856858251,0.9744239760678484,0.6290253461480019,0.3126510259643594,0.16201026564556548,0.71,0.7654959999490529,350,1,0.8807192720206206,0.7832103310684039,0.0007993743846743817,0.20381800729960198,0.025576023932151637,0.2
