scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,n_users,n_servers,candidate_limit
S2,8,Delay-Greedy,0.2540458784765511,0.5341195812230073,1.4446879214941266,0.05968478920755569,0.94,0.06,0.05270844843187559,0.9990194282349774,0.0009805717650226175,1.0133227959824447,0.9878514756768287,0.9529405677849208,0.3638556730248603,0.11089601424765025,0.96,0.003836899995803833,1,1,0.5194841951761769,0.6766344645901473,0.0009805717650226175,0.08264506797001814,0.012148524323171261,50,5,4
S2,9,RFOTO-ABC,0.16118087262270417,0.4455201304214901,0.8350699060253421,0.04407207561826039,1.0,0.0,0.0,0.9996624951798029,0.00033750482019712314,1.011120557078609,0.9999986363025246,0.9978961426292311,0.9940387990477452,0.0011677753784697174,0.94,0.4697143000084907,320,1,0.4095328588096747,0.39153301601083174,0.00033750482019712314,0.0,1.3636974753872266e-06,50,5,4
S2,9,Standard-ABC,0.5766939511890745,1.2300692455958113,3.684492856603375,0.14079905380124322,0.48,0.52,0.4393450878549176,0.9982714237299583,0.0017285762700417128,1.0368641079546725,0.9166149697251821,0.3432561746368663,0.3024116334077691,0.30161335847713205,0.66,0.4994004999753088,320,1,1.234321601778297,0.9605509207440379,0.0017285762700417128,0.4447097713506545,0.08338503027481792,50,5,4
S2,9,Delay-Greedy,0.17551622307461867,0.4530639529306869,0.9684801956415966,0.0470936676599161,1.0,0.0,0.0,0.9993193183895509,0.000680681610449112,1.0091947312674876,0.9999915171078669,0.9972806861547733,0.9802050482844211,0.002912552848091287,1.0,0.0024443999864161015,1,1,0.42344595955749764,0.46344882952889643,0.000680681610449112,0.0,8.482892133065967e-06,50,5,4
S3,0,RFOTO-ABC,0.3392898695030829,0.7695606073215089,1.5213971708104355,0.09375081548316883,0.7,0.3,0.13690537353848303,0.9989951477086634,0.001004852291336662,1.0199947359418853,0.9732732472488486,0.5875466477463042,0.26809547044883575,0.16571266627322062,0.69,0.6828148000640795,320,1,0.7323791218714206,0.8107754208191104,0.001004852291336662,0.12147517016568456,0.02672675275115144,100,5,4
S3,0,Standard-ABC,0.7330964568640124,1.5039885583801669,4.372017174168654,0.1747272532020351,0.29,0.71,0.6296045130684746,0.9982913258461765,0.0017086741538234907,1.0447867503106116,0.895594002986899,0.32143432015548606,0.23720104541827522,0.34143428939079196,0.43,0.6551781999878585,320,1,1.535213884188256,1.1351315978402126,0.0017086741538234907,0.6520824470327462,0.10440599701310105,100,5,4
S3,0,Delay-Greedy,0.400103445572963,0.8647933539435718,2.0429799223511718,0.1072478735798332,0.65,0.35,0.1460176786050579,0.9987458861457074,0.0012541138542927221,1.0152606685881398,0.9738875362005,0.6228576633173393,0.26809547044883575,0.1637455557562995,0.95,0.003961200010962784,1,1,0.792755002401203,1.1180144086760186,0.0012541138542927221,0.12017936532190386,0.026112463799500052,100,5,4
S3,1,RFOTO-ABC,0.302040313261729,0.7632405800977815,1.5448759311440132,0.09249465138826432,0.76,0.24,0.06035241673282541,0.9974744928337728,0.00252550716622715,1.0127920708747988,0.988737532973011,0.7307748796232698,0.4650726358478191,0.1067274802003945,0.7,0.6328726999927312,320,1,0.6659925019819872,0.805530574086734,0.00252550716622715,0.05007252066371315,0.011262467026988965,100,5,4
S3,1,Standard-ABC,0.7075518875457298,1.5136007417591317,4.8492027879039075,0.180946541230955,0.36,0.64,0.6344217223928682,0.9976161304809311,0.002383869519068883,1.0737043500425554,0.8883158168342942,0.2736510045167163,0.20946774726570033,0.3545782878609467,0.39,0.6246704000514001,320,1,1.4691250433762093,1.1524645408635492,0.002383869519068883,0.6006861767739022,0.11168418316570583,100,5,4
S3,1,Delay-Greedy,0.3339377643664444,0.8432192299193016,1.8643913287541536,0.09825576639223571,0.73,0.27,0.11175753145740874,0.9959657087499693,0.0040342912500307545,1.0197273679079877,0.9779398969535662,0.6345333767206469,0.42397905146702103,0.1501923062936149,0.91,0.0039221999468281865,1,1,0.7207610252524363,0.8582453898094543,0.0040342912500307545,0.0835793034997838,0.0220601030464338,100,5,4
S3,2,RFOTO-ABC,0.3143737161145925,0.8429685362528635,1.695000730003551,0.11042328819943567,0.74,0.26,0.09175837846289853,0.9994511135613711,0.0005488864386289217,1.0135465019581402,0.9827356095819658,0.6562447866744765,0.38651622606287933,0.13254314695413047,0.69,0.6862167000072077,320,1,0.7114200437831003,0.7661088190971204,0.0005488864386289217,0.07561178581527417,0.01726439041803418,100,5,4
S3,2,Standard-ABC,0.6982837425159618,1.6151051656150697,4.530073014288736,0.1904961729857414,0.36,0.64,0.6617052874654843,0.9989616884306962,0.001038311569303847,1.0484169363211286,0.8848890122501353,0.29427672103032204,0.16170784705565172,0.3606732963296168,0.38,0.6671909000724554,320,1,1.46632502190184,1.0442253064195746,0.001038311569303847,0.6303775224049004,0.11511098774986472,100,5,4
S3,2,Delay-Greedy,0.3876698104688468,0.9676041679798401,1.9860287503773397,0.1338922887522291,0.57,0.43,0.15604172340860994,0.9982607836078857,0.0017392163921143068,1.029779996802169,0.9707481480594021,0.5320156940222281,0.3817523359285254,0.17358947829491977,0.94,0.00430239993147552,1,1,0.79108346306693,1.0445513106803805,0.0017392163921143068,0.11392250812217893,0.029251851940597873,100,5,4
S3,3,RFOTO-ABC,0.30906122115704726,0.7855696618393239,1.7337441571642336,0.10154816065657489,0.76,0.24,0.09222289394825361,0.9996349863322681,0.0003650136677318372,1.0082206770776616,0.9814689664103134,0.625207171491212,0.4080660911225039,0.13740784725523106,0.63,0.6005518999882042,320,1,0.6762715616175541,0.7866453479928704,0.0003650136677318372,0.07657548312691538,0.018531033589686552,100,5,4
S3,3,Standard-ABC,0.7100455327868505,1.570993850804064,3.80067782920008,0.18805808976195157,0.32,0.68,0.6553894759472065,0.9993317829726098,0.0006682170273902576,1.0581778493576366,0.889818021770836,0.30747602862550377,0.21837658142452263,0.35188818406762734,0.29,0.6443563000066206,320,1,1.475532056137328,1.1200631127477505,0.0006682170273902576,0.625968446802013,0.11018197822916398,100,5,4
S3,3,Delay-Greedy,0.40865510091928914,0.8862701029046017,2.247839805899829,0.11950007492235307,0.68,0.32,0.14037093467776626,0.9991928338094691,0.0008071661905308925,1.01980357321448,0.9731900352427431,0.5964538281861766,0.3972278282235592,0.16597752904454147,0.93,0.004413699964061379,1,1,0.8039099161005793,1.1277741467059637,0.0008071661905308925,0.1373142877462201,0.026809964757256943,100,5,4
S3,4,RFOTO-ABC,0.36010169742755377,0.7693451150685279,1.773279974109427,0.08606738811082935,0.69,0.31,0.1484671230245945,0.9988114503789757,0.0011885496210244462,1.0268371053931402,0.9720013012836525,0.6006886616476889,0.29825941280010354,0.16972096814897755,0.6,0.6382841999875382,320,1,0.8286102834776692,0.7307237824645321,0.0011885496210244462,0.15561217782719836,0.027998698716347525,100,5,4
S3,4,Standard-ABC,0.7030336655206201,1.4418147366097045,3.7363079328318833,0.16310017564434273,0.34,0.66,0.6281377059968682,0.9954368815493079,0.004563118450692052,1.0762369256362776,0.891398855773263,0.2985455033321395,0.23831060900257026,0.349044793582986,0.37,0.6388556999154389,320,1,1.4985001690256818,0.983397348930878,0.004563118450692052,0.6547849024016756,0.10860114422673695,100,5,4
S3,4,Delay-Greedy,0.4247078083400959,0.8600217990441058,1.7703160215184839,0.09421653654737408,0.64,0.36,0.1845432246886023,0.9975355698438539,0.002464430156146001,1.0236229505082406,0.9658895410344761,0.5495444176180663,0.26152637338571344,0.18792304885172165,0.9,0.004445299971848726,1,1,0.871730366455502,1.052356450147058,0.002464430156146001,0.1732491773124159,0.03411045896552389,100,5,4
S3,5,RFOTO-ABC,0.4051712631037824,0.9323146603515766,2.253041019773375,0.12491844549553446,0.68,0.32,0.17089634403161413,0.9992197568983957,0.0007802431016043243,1.0105704801244466,0.9640858936494894,0.49365815183435435,0.3052329891716264,0.19300771446910542,0.61,0.6284761999268085,320,1,0.8992827599958124,0.8629149174740476,0.0007802431016043243,0.18148068364329867,0.03591410635051062,100,5,4
S3,5,Standard-ABC,0.8754593297293344,1.784979076316829,4.868412962073641,0.24388037520096761,0.3,0.7,0.8757673865857245,0.9975258647528565,0.002474135247143566,1.0680867889111458,0.8641295798941961,0.24469059870748594,0.10402901997672169,0.3965272364662383,0.41,0.63438100006897,320,1,1.7273709472681171,1.445980134904305,0.002474135247143566,0.8233767304454405,0.13587042010580386,100,5,4
S3,5,Delay-Greedy,0.521667707289258,1.0529003736283171,2.5531489710656103,0.16348528809552193,0.54,0.46,0.23085862281877642,0.9981963309597092,0.0018036690402908507,1.0167511593003917,0.9564085351414392,0.44075235025332576,0.3052329891716264,0.21349072404401676,0.93,0.0036201999755576253,1,1,0.9965068232409489,1.3973769126567652,0.0018036690402908507,0.22414004417465472,0.0435914648585608,100,5,4
