scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,diagnostic,assigned_tasks,active_server_count,assignment_entropy,task_count_cv,bandwidth_util_cv,cpu_util_cv,bandwidth_share_cv,cpu_share_cv,bandwidth_util_mean,cpu_util_mean
S4,10,RFOTO-ABC,0.3499472206830977,0.6975200161660845,1.6203916178332896,0.09263809478134252,0.8,0.2,0.10541143030512763,0.9974967957025831,0.0025032042974168665,1.0290013872754444,0.9783970838741429,0.5918468301737586,0.3029034485930607,0.14859309033031032,0.84,1.0949197999943863,400,1,0.6993285708821227,0.9311552024068287,0.0025032042974168665,0.12680287729272294,0.021602916125857075,resource_skew,84.0,8.0,0.9920437243614547,0.18442777839082938,1.1102230246251565e-16,1.5202354861220294e-16,0.7328602824996573,0.7636154900180374,1.0,1.0
S4,10,RFOTO-ABC-D,0.31246392911966486,0.5726418511692113,1.0613436406501546,0.0772809759008621,0.87,0.13,0.08542587601695922,0.9969929187200265,0.003007081279973507,1.032739672785782,0.9817749472812687,0.6904153308145309,0.3029034485930607,0.13624746286198547,0.84,0.7314148000004934,400,1,0.6734513860093922,0.740147773307706,0.003007081279973507,0.11897496982942593,0.018225052718731316,resource_skew,84.0,8.0,0.9920326074163452,0.1781741612749496,1.6184142622847344e-16,6.798699777552591e-17,9.330378141118856e-17,9.775161743164064e-17,1.0,1.0
S4,11,RFOTO-ABC,0.2790718282224869,0.714652417439779,1.8086351529817533,0.09531000492014878,0.85,0.15,0.08274400473827022,0.9987984895882256,0.0012015104117744113,1.01315101149092,0.9817725710154015,0.5413739354948482,0.3772052451199742,0.13625650975285863,0.85,1.0989671999996062,400,1,0.5829226605881184,0.76536954738805,0.0012015104117744113,0.06224525814882058,0.018227428984598504,resource_skew,85.0,8.0,0.9896212425585231,0.21012436587637354,1.3597399555105182e-16,1.1775693440128312e-16,0.5782702472256236,0.591651128047478,1.0,1.0
S4,11,RFOTO-ABC-D,0.24897416499451802,0.5992927194885732,1.5303753434044898,0.08087863238358974,0.88,0.12,0.05463811290318873,0.9984068283804526,0.001593171619547521,1.0155450264744421,0.9886467745588268,0.8325918937650798,0.3772052451199742,0.10716156660037782,0.86,0.7115506999980425,400,1,0.5675070784612556,0.6256786112587254,0.001593171619547521,0.04489594220123942,0.011353225441173231,resource_skew,86.0,8.0,0.9876846822277189,0.22666963592578984,1.9229626863835638e-16,8.777083671441753e-17,7.371678623454522e-17,8.463859558105469e-17,1.0,1.0
S4,12,RFOTO-ABC,0.24589696712538728,0.5909173255132825,1.3504803854565386,0.07082587983010831,0.91,0.09,0.08660599510791116,0.9984029662160969,0.0015970337839030246,1.0241376263947184,0.9816078238287754,0.6538636221586711,0.24180869732949478,0.13688238180447873,0.81,1.2030379000061657,400,1,0.5433949692765253,0.6145395349274183,0.0015970337839030246,0.05915624553871572,0.018392176171224572,resource_skew,81.0,8.0,0.9868088945001412,0.23391722619131378,1.6653345369377353e-16,1.2412670766236366e-16,0.6716434096222081,0.6908392301057774,0.9999999999999998,1.0
S4,12,RFOTO-ABC-D,0.22082190398117876,0.4803436245833159,1.070929575945149,0.05992684493913511,0.92,0.08,0.05730777333854494,0.9978522793515885,0.0021477206484114943,1.0275454745401593,0.9888311658894154,0.8729647631465028,0.24180869732949478,0.10627787133157467,0.83,0.7692887000011979,400,1,0.5181148730130464,0.520658022310708,0.0021477206484114943,0.04435845254016389,0.011168834110584558,resource_skew,83.0,8.0,0.985493609543577,0.24066246211371298,1.3597399555105182e-16,8.777083671441753e-17,6.234261420444528e-17,7.390975952148437e-17,1.0,1.0
S4,13,RFOTO-ABC,0.2840019258094002,0.5969215679686052,1.3770527481060113,0.0763990071654253,0.85,0.15,0.07734174053683496,0.9988416024850918,0.0011583975149084514,1.0267479460764808,0.9836471234833604,0.6477578792324288,0.33642044923322545,0.1289369567565712,0.83,1.1749710999938543,400,1,0.6260194435173496,0.634585535023029,0.0011583975149084514,0.11849849478452332,0.016352876516639636,resource_skew,83.0,8.0,0.9900286882452762,0.2041093294710532,9.614813431917819e-17,6.798699777552591e-17,0.75630724511042,0.7604852310467747,1.0,1.0
S4,13,RFOTO-ABC-D,0.249800806199685,0.46407617922629724,1.087466852501419,0.05881840764369159,0.89,0.11,0.055103398535878666,0.9979601489695094,0.0020398510304905737,1.0371377535808368,0.9884330634313644,0.762953746871525,0.33642044923322545,0.10817715233588165,0.86,0.8061149999994086,400,1,0.5633464194058843,0.5866458116921038,0.0020398510304905737,0.07529727561201963,0.01156693656863561,resource_skew,86.0,8.0,0.9920172453430326,0.17863129646206063,9.614813431917819e-17,9.614813431917819e-17,6.217597263090355e-17,1.6927719116210938e-16,1.0,1.0
S4,14,RFOTO-ABC,0.257685282985085,0.5259426703995369,1.1320422841199105,0.0614679616188324,0.92,0.08,0.06439068352244937,0.9965596094918077,0.0034403905081922715,1.0205120028187333,0.9857368975039709,0.7646570040387498,0.30686287971947246,0.12028916079084487,0.84,1.0601653999983682,400,1,0.5345511031283492,0.7037819560898626,0.0034403905081922715,0.06261068125390212,0.014263102496029134,resource_skew,84.0,8.0,0.9936159878189448,0.1649572197684645,1.415262216750919e-16,1.415262216750919e-16,0.5591041592193151,0.5642889196282203,1.0,1.0
S4,14,RFOTO-ABC-D,0.2397952900947232,0.475878208193811,0.863452765034922,0.05517208816480673,0.93,0.07,0.06088193777026032,0.9963340917449761,0.003665908255023961,1.0192680347152359,0.9865108557377911,0.825618692768399,0.30686287971947246,0.11693412367909181,0.85,0.2894631000017398,400,1,0.5296182640342912,0.5970073471032418,0.003665908255023961,0.06033227492131183,0.01348914426220893,resource_skew,85.0,8.0,0.9913329178160245,0.19367150156652152,5.551115123125783e-17,8.777083671441753e-17,1.415499164129823e-17,8.463859558105469e-17,1.0,1.0
