scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,parameter,value
S4,4,RFOTO-ABC,0.2586767503421871,0.6462049598012335,1.6068852671469527,0.08875703693342368,0.9,0.1,0.06567007349534136,0.9991313617181824,0.0008686382818176486,1.0185316517173644,0.9853557306320799,0.692101019960222,0.3853131959798628,0.12190943851415909,0.82,0.7291229999391362,280,1,0.5689052421114744,0.6652695224550921,0.0008686382818176486,0.05715857353801266,0.01464426936792007,population,14.0
S4,5,RFOTO-ABC,0.2651443771916965,0.6737876376816425,1.6453985033220013,0.09803335377797313,0.86,0.14,0.07272876241868771,0.9990698809799773,0.0009301190200226628,1.0196934654349974,0.9846120279305774,0.6887131733862737,0.3304339746101377,0.1250138488828903,0.82,0.7159815001068637,280,1,0.5787489433098857,0.6836552565055054,0.0009301190200226628,0.061658533095925463,0.01538797206942255,population,14.0
S4,0,RFOTO-ABC,0.32358085981538975,0.6952637654305462,1.792225205616028,0.09693370421500132,0.81,0.19,0.08423097639987198,0.9979084829133862,0.002091517086613687,1.0315586478634189,0.9819282435807325,0.6367159291804894,0.3708087155959326,0.13566265310680228,0.84,0.6808333999942988,280,1,0.6576900328536037,0.9336448640547966,0.002091517086613687,0.06393022045422594,0.018071756419267504,population,20.0
S4,1,RFOTO-ABC,0.31497465354238807,0.76122309424558,2.3304221327166896,0.09095297140059945,0.86,0.14,0.1549438303799449,0.9991511598285214,0.0008488401714785199,1.0104929977799961,0.9671573114520255,0.43809332692772285,0.23822063161043922,0.18427685483146727,0.77,0.6537096999818459,280,1,0.6746810265954106,0.7060404867741272,0.0008488401714785199,0.14120861024369769,0.03284268854797445,population,20.0
S4,2,RFOTO-ABC,0.27362964729246564,0.6812325437179267,2.135878478936465,0.07638654808087657,0.86,0.14,0.12191006895542746,0.9975357722775452,0.0024642277224547725,1.0272852862912192,0.9750188120190533,0.5695081417485217,0.23860879579044939,0.1600663516066576,0.84,0.7173277999972925,280,1,0.584505082267818,0.6430989178317332,0.0024642277224547725,0.10719406123647295,0.02498118798094673,population,20.0
S4,3,RFOTO-ABC,0.29104209749557014,0.6090401098115581,1.2591009970019678,0.06772973286396808,0.9,0.1,0.09812152456024627,0.9985779423618156,0.0014220576381843131,1.0158131349624462,0.9794105339045033,0.56805549477151,0.24201108960011772,0.14499070354090246,0.86,0.7454547999659553,280,1,0.6456945868112333,0.5883344542216535,0.0014220576381843131,0.15198180487020968,0.020589466095496722,population,20.0
S4,4,RFOTO-ABC,0.25987542176819994,0.6489155334245218,1.4410375339906356,0.08847254941262804,0.89,0.11,0.06510803515768006,0.9991185363590617,0.0008814636409383891,1.0184495047125817,0.9855822889500708,0.6911407850609577,0.3853131959798628,0.12094884166166602,0.82,0.7067737999605015,280,1,0.5672399103983454,0.6768311325912865,0.0008814636409383891,0.05680729957697435,0.014417711049929172,population,20.0
S4,5,RFOTO-ABC,0.2633464088959303,0.6700278877489335,1.6453985033220013,0.09671987356621628,0.85,0.15,0.0716110552530057,0.9993080069818072,0.0006919930181927602,1.0173637818942798,0.9851419062260629,0.6938436640841457,0.3304339746101377,0.12280955301801146,0.83,0.6780807999894023,280,1,0.5765146553630308,0.6773554702896698,0.0006919930181927602,0.060989247367972156,0.014858093773937098,population,20.0
S4,0,RFOTO-ABC,0.33302605484315523,0.7003389921074359,1.7740586446255764,0.09782647596140948,0.82,0.18,0.09584987488051028,0.9980817964806461,0.0019182035193538649,1.029631604282682,0.9787526507186113,0.577194735073938,0.3708087155959326,0.1473383842618196,0.84,0.6907308000372723,280,1,0.6612296185472382,0.9681185937753805,0.0019182035193538649,0.07572047217583827,0.021247349281388717,population,28.0
S4,1,RFOTO-ABC,0.31584796932979486,0.7608463067599905,2.3304221327166896,0.09146580371978828,0.87,0.13,0.15414429192191437,0.9991512735114584,0.0008487264885414558,1.0103583906748774,0.9671682852602692,0.43809332692772285,0.23822063161043922,0.1842450205590646,0.78,0.7491088999668136,280,1,0.673580459289783,0.7145513912496342,0.0008487264885414558,0.14070257324494417,0.03283171473973079,population,28.0
S4,2,RFOTO-ABC,0.27362964729246564,0.6812325437179267,2.135878478936465,0.07638654808087657,0.86,0.14,0.12191006895542746,0.9975357722775452,0.0024642277224547725,1.0272852862912192,0.9750188120190533,0.5695081417485217,0.23860879579044939,0.1600663516066576,0.84,0.7521953000687063,280,1,0.584505082267818,0.6430989178317332,0.0024642277224547725,0.10719406123647295,0.02498118798094673,population,28.0
S4,3,RFOTO-ABC,0.2914098836153457,0.6104951032302327,1.2591009970019678,0.06794997841707848,0.89,0.11,0.09994326994674511,0.99866014054335,0.0013398594566499,1.0158381661805584,0.9791975842525869,0.56805549477151,0.24201108960011772,0.1457544151605786,0.86,0.747559699928388,280,1,0.6470339548786461,0.5862973661569166,0.0013398594566499,0.15327382287481878,0.02080241574741315,population,28.0
S4,4,RFOTO-ABC,0.25984221444296374,0.6487043600130227,1.4410375339906356,0.08838721407988646,0.89,0.11,0.06510803515768006,0.9991199793259977,0.0008800206740022531,1.0184156718985191,0.9855822246905228,0.6911407850609577,0.3853131959798628,0.12094911513797794,0.82,0.7172945999773219,280,1,0.5673325542933845,0.67645720362768,0.0008800206740022531,0.05680729957697435,0.014417775309477188,population,28.0
S4,5,RFOTO-ABC,0.2658230224341552,0.675134687773435,1.6453985033220013,0.09833639765547669,0.84,0.16,0.06978506943321182,0.9990987877064516,0.0009012122935483757,1.018939084159956,0.9854392352044998,0.6938436640841457,0.3304339746101377,0.12155621495869422,0.83,0.6946016000583768,280,1,0.5782498740549854,0.6928149071400597,0.0009012122935483757,0.059895842685460846,0.01456076479550017,population,28.0
