scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,bandwidth_scale,cpu_scale
S3,6,RFOTO-ABC,0.39784060919246966,0.9837960881381228,2.0843120486160025,0.16462830761962724,0.62,0.38,0.1626913737110069,0.9998264498800432,0.00017355011995683566,1.0139312597836723,0.9696770176919464,0.5679405699702771,0.3215072885602193,0.17683670129898613,0.61,0.5336519000120461,280,1,0.8356510171381946,1.0144708497828927,0.00017355011995683566,0.12869628028115107,0.030322982308053636,0.5,1.25
S3,7,RFOTO-ABC,0.37751702354749905,0.9702644811050475,2.2096311327689726,0.13334137391662731,0.63,0.37,0.17108654671675075,0.9989415890526727,0.0010584109473272519,1.0128643733823313,0.9669688791487452,0.544359394415478,0.2959343269603696,0.1848227411007779,0.66,0.5108571000164375,280,1,0.7940649230169649,0.9418501025672077,0.0010584109473272519,0.1302277083640921,0.033031120851254814,0.5,1.25
S3,0,RFOTO-ABC,0.4926992751032392,1.0777200728507395,2.60835462471479,0.18027332551556843,0.6,0.4,0.3040987851282621,0.9990890680322033,0.0009109319677966455,1.0101452580577424,0.9402579855610171,0.42118379372467035,0.21709136599337844,0.25206724571191547,0.64,0.4997930999379605,280,1,0.9312748885313723,1.2774123532962733,0.0009109319677966455,0.23650084566619328,0.05974201443898286,0.5,1.5
S3,1,RFOTO-ABC,0.4179130268990355,0.8266973562865936,1.6535477453781384,0.13871445550408226,0.68,0.32,0.1681153897423014,0.9996885908604785,0.0003114091395216845,1.0084944806046419,0.9671448201882826,0.5184458371935631,0.31958408901372876,0.18431308532673196,0.57,0.5757288999157026,280,1,0.8759792902849465,1.0041459072252137,0.0003114091395216845,0.17322303777741943,0.03285517981171737,0.5,1.5
S3,2,RFOTO-ABC,0.4600328224610953,0.9913474257140148,2.5099343942031473,0.14409505892679492,0.62,0.38,0.27317260948690997,0.9982927592567351,0.0017072407432648174,1.0126374136976717,0.943966278226821,0.42072401890741556,0.2960964668047695,0.24363882404507747,0.51,0.5818453999236226,280,1,0.9220769254865989,1.0633605500081493,0.0017072407432648174,0.24505200869437319,0.056033721773179,0.5,1.5
S3,3,RFOTO-ABC,0.3918713904487032,0.7705475534576984,1.7589795971776254,0.1224384298685419,0.7,0.3,0.12037630218728937,0.9991031772202025,0.0008968227797975303,1.0068631128391625,0.977431856299257,0.6741935263441068,0.3146223577246927,0.1519513890702082,0.63,0.500469799968414,280,1,0.8492891207636143,0.9444349181881748,0.0008968227797975303,0.1372771456740099,0.022568143700743004,0.5,1.5
S3,4,RFOTO-ABC,0.3932177038753535,0.8664239675577866,2.1545144006394232,0.13962523479443698,0.71,0.29,0.13377828673099348,0.9991277008024739,0.0008722991975260963,1.008406943434898,0.9731985727506884,0.5763105996154868,0.39303783816669724,0.1659503716410476,0.65,0.49484379997011274,280,1,0.768947211889824,1.114578080903062,0.0008722991975260963,0.11839805936214512,0.02680142724931156,0.5,1.5
S3,5,RFOTO-ABC,0.4198334056756472,0.7427446317138542,1.4872083661754225,0.11978397691530498,0.69,0.31,0.16340260364821,0.9995371977756681,0.00046280222433177864,1.021387056777943,0.9665367022859982,0.5053900156361367,0.36402856783224974,0.18606950125998734,0.54,0.5330178999574855,280,1,0.8550135405658723,1.0471313789059893,0.00046280222433177864,0.1755930343852566,0.033463297714001805,0.5,1.5
S3,6,RFOTO-ABC,0.38727962025555174,0.9880652603867265,2.0822820207789796,0.155506367457455,0.64,0.36,0.18386687125493822,0.9998462538697527,0.00015374613024725204,1.0112941437146157,0.9641688406829437,0.5618454313389835,0.3215072885602193,0.1927764080484578,0.6,0.5349556000437587,280,1,0.8199991344293923,0.9511068523893765,0.00015374613024725204,0.1368335426647569,0.03583115931705627,0.5,1.5
S3,7,RFOTO-ABC,0.36828970369288433,0.9319614375581279,2.1396826818098478,0.1346527052585111,0.66,0.34,0.16645952541117176,0.9992833379239329,0.0007166620760670606,1.0099014305243477,0.9670397552411105,0.5087297273346987,0.2959343269603696,0.1846175782859216,0.68,0.5158127999166027,280,1,0.7685558766020232,0.9283515472084868,0.0007166620760670606,0.12724253332823468,0.03296024475888948,0.5,1.5
