scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,budget,comparison_suite
S2,6,Standard-ABC,0.5871138857591349,1.443766117431772,4.233856263458813,0.12908994508760105,0.44,0.56,0.5534467503297119,0.9988281082051038,0.0011718917948960628,1.0574899413282446,0.895390020970935,0.3334943072920963,0.2803893164426128,0.3418065907394342,0.5,0.6391916000284255,320,1,1.2337410001274907,0.9475523984506492,0.0011718917948960628,0.4824796029853038,0.10460997902906499,320,advanced
S2,6,GA,0.38171573348580395,0.9670350295982917,2.7060378407263324,0.09760273199049568,0.6,0.4,0.24461825417475785,0.9966154014832631,0.0033845985167371053,1.0532265681708528,0.9537007083704931,0.4390520168411975,0.2803893164426128,0.22033379797812058,0.64,0.5956403000163846,320,1,0.8839783839763001,0.6489157727176831,0.0033845985167371053,0.22304783254521193,0.046299291629506856,320,advanced
S2,6,PSO,0.8481790729103352,1.9364234027993037,4.426251912287716,0.18865051982958775,0.24,0.76,0.9149755640006092,0.9991173136155092,0.0008826863844907539,1.055933097730049,0.8548211093738428,0.260461309718982,0.1814126524384023,0.4121109153324041,0.36,0.7131908000446856,320,1,1.8065058404080239,0.9483518358883819,0.0008826863844907539,0.9293858662170011,0.1451788906261572,320,advanced
S2,6,DE,0.8758553049274559,2.0716842906373687,4.692947821716894,0.16251724211663846,0.18,0.82,0.9624132752863228,0.999671960737344,0.0003280392626561368,1.0695564243231892,0.8538086361008752,0.2842867919646744,0.24005078482276798,0.41379056821576005,0.2,0.6296614000457339,320,1,1.8489316532689868,1.0344817182081354,0.0003280392626561368,0.9458232857663555,0.1461913638991248,320,advanced
S2,6,Gbest-ABC,0.2101355322261976,0.5091908776753131,0.9403162274765555,0.06034411969750229,1.0,0.0,0.0,0.9986287150614838,0.0013712849385160775,1.0145747352034702,0.9999575047552826,0.9970420042686284,0.9556817220514875,0.00651897619563751,1.0,0.5956469999509864,320,1,0.42046725593577855,0.6982539131189475,0.0013712849385160775,0.0,4.249524471744426e-05,320,advanced
S2,6,MeABC,0.2101355322261976,0.5091908776753131,0.9403162274765555,0.06034411969750229,1.0,0.0,0.0,0.9986287150614838,0.0013712849385160775,1.0145747352034702,0.9999575047552826,0.9970420042686284,0.9556817220514875,0.00651897619563751,1.0,0.5786666999920271,320,1,0.42046725593577855,0.6982539131189475,0.0013712849385160775,0.0,4.249524471744426e-05,320,advanced
S2,6,JADE,0.2101355322261976,0.5091908776753131,0.9403162274765555,0.06034411969750229,1.0,0.0,0.0,0.9986287150614838,0.0013712849385160775,1.0145747352034702,0.9999575047552826,0.9970420042686284,0.9556817220514875,0.00651897619563751,1.0,0.6251764000044204,320,1,0.42046725593577855,0.6982539131189475,0.0013712849385160775,0.0,4.249524471744426e-05,320,advanced
S2,6,LSHADE-lite,0.2101355322261976,0.5091908776753131,0.9403162274765555,0.06034411969750229,1.0,0.0,0.0,0.9986287150614838,0.0013712849385160775,1.0145747352034702,0.9999575047552826,0.9970420042686284,0.9556817220514875,0.00651897619563751,1.0,0.5714928999659605,320,1,0.42046725593577855,0.6982539131189475,0.0013712849385160775,0.0,4.249524471744426e-05,320,advanced
S2,6,CMAES-lite,0.2101355322261976,0.5091908776753131,0.9403162274765555,0.06034411969750229,1.0,0.0,0.0,0.9986287150614838,0.0013712849385160775,1.0145747352034702,0.9999575047552826,0.9970420042686284,0.9556817220514875,0.00651897619563751,1.0,0.6027954000164755,320,1,0.42046725593577855,0.6982539131189475,0.0013712849385160775,0.0,4.249524471744426e-05,320,advanced
S2,6,GWO,0.2101355322261976,0.5091908776753131,0.9403162274765555,0.06034411969750229,1.0,0.0,0.0,0.9986287150614838,0.0013712849385160775,1.0145747352034702,0.9999575047552826,0.9970420042686284,0.9556817220514875,0.00651897619563751,1.0,0.6537829000153579,320,1,0.42046725593577855,0.6982539131189475,0.0013712849385160775,0.0,4.249524471744426e-05,320,advanced
S2,7,RFOTO-ABC,0.24638262426473617,0.5302603626327186,1.1285251112808825,0.06669575536517472,0.94,0.06,0.05058435344240457,0.9990646215659927,0.0009353784340073768,1.0031999453299407,0.9877674764311338,0.7555576348602346,0.48660817854427546,0.11128347262154231,0.92,0.661913399992045,320,1,0.5413143167288855,0.5715994889070362,0.0009353784340073768,0.09316867009731178,0.012232523568866172,320,advanced
S2,7,Standard-ABC,0.49954318288250615,1.1106953514931148,2.8614194271322724,0.1515497218227398,0.5,0.5,0.357375331375525,0.9967156727969282,0.0032843272030716707,1.0403476686715354,0.9326309371534398,0.39815692900053606,0.26126024509039153,0.26876662896009984,0.56,0.5885267999838106,320,1,1.0581831377291093,0.9239938496828124,0.0032843272030716707,0.3425443845208343,0.06736906284656019,320,advanced
S2,7,GA,0.4058174097492191,0.9967846882053416,2.574795790022801,0.12644568550955324,0.54,0.46,0.2341006551831623,0.9981591373653782,0.0018408626346217605,1.0548462114627721,0.9564614134477732,0.491137202581875,0.31662710297025415,0.2133553001184125,0.6,0.5653806999907829,320,1,0.9382305159391994,0.7242000771839021,0.0018408626346217605,0.2229232347083024,0.043538586552226755,320,advanced
S2,7,PSO,0.7633353171662922,1.7094120578536667,4.441377844541321,0.18782020266198962,0.3,0.7,0.7695659874055505,0.9992266703051952,0.0007733296948047674,1.0388600964472157,0.8702879864677142,0.27203312218933,0.196622733686291,0.38606337787250256,0.26,0.7825576000032015,320,1,1.5862864240407981,1.0655125349421861,0.0007733296948047674,0.7493014517838439,0.12971201353228579,320,advanced
S2,7,DE,1.088675487900582,2.3176591119743133,7.128387452976404,0.3268173634734651,0.26,0.74,1.291110339724802,0.9981993794411149,0.0018006205588851421,1.0458791977926347,0.8164544728274581,0.16497534746170336,0.12992745946393944,0.4741392588676204,0.42,0.6592645000200719,320,1,2.036033821805932,1.7668694800896998,0.0018006205588851421,1.146978628991943,0.1835455271725419,320,advanced
S2,7,Gbest-ABC,0.257555171795577,0.5320931676414306,1.1379854073127003,0.0684993272395879,0.94,0.06,0.05058435344240457,0.9990681833432905,0.0009318166567095454,1.0034470881869966,0.9877674161710394,0.7555576348602346,0.48660817854427546,0.11128375011911391,0.94,0.5894448999897577,320,1,0.5429276749922929,0.6433988974499324,0.0009318166567095454,0.09316867009731178,0.012232583828960641,320,advanced
S2,7,MeABC,0.257555171795577,0.5320931676414306,1.1379854073127003,0.0684993272395879,0.94,0.06,0.05058435344240457,0.9990681833432905,0.0009318166567095454,1.0034470881869966,0.9877674161710394,0.7555576348602346,0.48660817854427546,0.11128375011911391,0.94,0.5758821999770589,320,1,0.5429276749922929,0.6433988974499324,0.0009318166567095454,0.09316867009731178,0.012232583828960641,320,advanced
S2,7,JADE,0.257555171795577,0.5320931676414306,1.1379854073127003,0.0684993272395879,0.94,0.06,0.05058435344240457,0.9990681833432905,0.0009318166567095454,1.0034470881869966,0.9877674161710394,0.7555576348602346,0.48660817854427546,0.11128375011911391,0.94,0.6095925999688916,320,1,0.5429276749922929,0.6433988974499324,0.0009318166567095454,0.09316867009731178,0.012232583828960641,320,advanced
S2,7,LSHADE-lite,0.257555171795577,0.5320931676414306,1.1379854073127003,0.0684993272395879,0.94,0.06,0.05058435344240457,0.9990681833432905,0.0009318166567095454,1.0034470881869966,0.9877674161710394,0.7555576348602346,0.48660817854427546,0.11128375011911391,0.94,0.5925738000078127,320,1,0.5429276749922929,0.6433988974499324,0.0009318166567095454,0.09316867009731178,0.012232583828960641,320,advanced
S2,7,CMAES-lite,0.257555171795577,0.5320931676414306,1.1379854073127003,0.0684993272395879,0.94,0.06,0.05058435344240457,0.9990681833432905,0.0009318166567095454,1.0034470881869966,0.9877674161710394,0.7555576348602346,0.48660817854427546,0.11128375011911391,0.94,0.657273199991323,320,1,0.5429276749922929,0.6433988974499324,0.0009318166567095454,0.09316867009731178,0.012232583828960641,320,advanced
S2,7,GWO,0.257555171795577,0.5320931676414306,1.1379854073127003,0.0684993272395879,0.94,0.06,0.05058435344240457,0.9990681833432905,0.0009318166567095454,1.0034470881869966,0.9877674161710394,0.7555576348602346,0.48660817854427546,0.11128375011911391,0.94,0.6272755999816582,320,1,0.5429276749922929,0.6433988974499324,0.0009318166567095454,0.09316867009731178,0.012232583828960641,320,advanced
S3,0,RFOTO-ABC,0.35892632578108064,0.69056066258719,1.5068411194542999,0.08419250263571959,0.79,0.21,0.12089183957467081,0.9994568257118103,0.0005431742881898394,1.017755507515581,0.97552451097587,0.5994029444694774,0.32275310990146344,0.15839687017783677,0.62,0.6434182000230066,320,1,0.7833703993873192,0.8092046214322721,0.0005431742881898394,0.15169229803260997,0.024475489024129993,320,advanced
S3,0,Standard-ABC,0.7201496846614527,1.3327998809975055,3.107965999502875,0.1513311988050314,0.41,0.59,0.6156585096255711,0.9960175433597983,0.003982456640201712,1.0766397465415216,0.8857849688307676,0.32328083710238165,0.20291206783029778,0.35908517723164585,0.38,0.7168029000167735,320,1,1.4585162534828597,1.2225808823099862,0.003982456640201712,0.6168189717632587,0.11421503116923237,320,advanced
