scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss
S4,1,RFOTO-ABC,0.24987265330228195,0.6205415677389321,1.3764142026161537,0.07545360170852632,0.9,0.1,0.06778389519949447,0.9974099115335477,0.0025900884664523094,1.0297630284006056,0.9855315794391614,0.6651147529216338,0.27536382191216235,0.12116447073518363,0.78,0.9333013000432402,375,1,0.538798886316567,0.647470884951269,0.0025900884664523094,0.061456072812134284,0.014468420560838635
S4,1,Standard-ABC,0.6518254095674441,1.4517464711469388,4.351359291995577,0.1540812148070494,0.43,0.57,0.5572207865238485,0.9974382714419445,0.0025617285580555515,1.0693273449272163,0.8986601689330098,0.30378739511974334,0.2328497997645052,0.33580900775587885,0.29,0.8904382000910118,375,1,1.407263252801566,0.8802074107566673,0.0025617285580555515,0.609060657527571,0.10133983106699018
S4,1,GA,0.49786409247272523,1.2170074300673184,3.453847842405025,0.13737485002352565,0.56,0.44,0.4062063483427021,0.9984880108318958,0.0015119891681042374,1.0494003653925934,0.9225513942163628,0.39350972065040873,0.19510691838433264,0.28974204248372387,0.41,0.9356536000268534,375,1,1.1006471036578092,0.7629983920418313,0.0015119891681042374,0.3853314762033273,0.07744860578363721
S4,1,PSO,0.7553655995532436,1.6911848456478336,4.5851322885776975,0.1671723858612944,0.35,0.65,0.7022727658170399,0.999300858345957,0.0006991416540429441,1.0906981663445032,0.8778090963452979,0.2792329914586721,0.19510691838433264,0.373094975017863,0.16,1.0625434999819845,375,1,1.6162314718195896,0.9547195008019287,0.0006991416540429441,0.7585253703961716,0.12219090365470209
S4,1,DE,0.8090490838041562,1.910638654241692,4.85980204050044,0.20020478472917805,0.25,0.75,0.8315897925205623,0.9988521264151897,0.0011478735848102928,1.1290234778070114,0.8673904395524917,0.27536315026775093,0.19510691838433264,0.39100301142924093,0.09,0.9803739000344649,375,1,1.729978257329124,0.9704880403292505,0.0011478735848102928,0.8434412185535973,0.13260956044750827
S4,1,Local-only,0.8505842521944742,1.9923804485800658,4.85980204050044,0.20137664393705762,0.22,0.78,0.8708924937031297,1.0,0.0,0.0,0.864400617666006,0.27536315026775093,0.19510691838433264,0.3960694281919582,0.0,0.00045060005504637957,1,1,1.829578796684819,1.0,0.0,0.8913985826926819,0.13559938233399405
S4,1,Random-feasible,0.7350096367988521,1.6108330310393284,4.5851322885776975,0.15612110779596997,0.37,0.63,0.6679653259976703,0.9967568063686107,0.003243193631389295,1.1134370344066253,0.8805698139647606,0.2792329914586721,0.2328497997645052,0.3682774755787865,0.25,0.002098300028592348,1,1,1.5791121355572215,0.9178041629617667,0.003243193631389295,0.7359912473348719,0.11943018603523936
S4,1,Max-SINR,0.24066899646394632,0.573695271911318,1.5214893176202484,0.0643012897947408,0.9,0.1,0.07636636606471871,0.9976399915165812,0.002360008483418713,1.023328006428325,0.9836428597003767,0.6629459346174658,0.27536382191216235,0.12895404439846467,0.88,0.002062999992631376,1,1,0.5587480296745253,0.5308023799208471,0.002360008483418713,0.0737442372622426,0.01635714029962332
S4,1,Delay-Greedy,0.279789920986697,0.6969878697075916,1.5234802226244517,0.07487892486011016,0.82,0.18,0.10654124209672065,0.9982208440691933,0.0017791559308066552,1.0257501923077792,0.9774868359001211,0.5936018836894138,0.27536382191216235,0.15176191911449785,0.91,0.005141500034369528,1,1,0.5935720213613787,0.6967289329295098,0.0017791559308066552,0.09261907962313103,0.022513164099878913
S4,1,Load-Aware,0.2506679748314728,0.6167924625597359,1.3764142026161537,0.0741402754508445,0.9,0.1,0.0709160599416692,0.9980389161988622,0.0019610838011378693,1.0247522046222106,0.9848948233235343,0.6651147529216338,0.27536382191216235,0.12384200575907962,0.78,0.004130299901589751,1,1,0.5371523344992309,0.6525932853632184,0.0019610838011378693,0.0633316205619395,0.015105176676465715
S4,1,Offload-then-Allocate,0.2409882131517691,0.5760789490205188,1.2362388257179664,0.06321592179470116,0.89,0.11,0.062177430854391744,0.9968713981775008,0.003128601822499276,1.033191472643509,0.9871730687708454,0.7376722407677263,0.27536382191216235,0.11398946983355292,0.92,0.003518700017593801,1,1,0.55518691968794,0.5673397203337965,0.003128601822499276,0.05816306052336641,0.01282693122915457
S4,2,RFOTO-ABC,0.2888525777066315,0.714517820948767,1.5788505373457438,0.08924545030359851,0.87,0.13,0.09203179828986649,0.997307022507769,0.0026929774922309834,1.0245114071366923,0.9815711745382519,0.6413730265111236,0.22975804830932958,0.1370212516559407,0.8,0.9829188999719918,375,1,0.6138476610710675,0.7322726421398231,0.0026929774922309834,0.08898738720073077,0.018428825461748066
S4,2,Standard-ABC,0.6350201430197647,1.437982838175048,3.769232303960021,0.16556925953881899,0.4,0.6,0.579458961829762,0.9941666734481729,0.005833326551827206,1.1017406185391674,0.8975368286413533,0.32154036043816475,0.21930787772899468,0.3378763218959389,0.32,0.9370119000086561,375,1,1.3158332730947513,1.038242036432767,0.005833326551827206,0.5351575130679976,0.10246317135864669
S4,2,GA,0.5170736913174099,1.2453352103868356,2.9618727011982995,0.13654076432388063,0.44,0.56,0.45485974016818914,0.9980534571108832,0.0019465428891167814,1.0565915625211189,0.9188652740450256,0.3736279665925996,0.22975804830932958,0.29715118558292447,0.37,0.8666414999170229,375,1,1.13249545723299,0.7882756004611174,0.0019465428891167814,0.41259587787570123,0.0811347259549744
S4,2,PSO,0.7431379158016331,1.6607883047757181,3.8124189184299695,0.17840633203622785,0.27,0.73,0.706007867956169,0.9983440991961691,0.0016559008038310773,1.0883880285271852,0.8900295256154197,0.31808727039092244,0.1801960725867705,0.3515085087782891,0.21,1.129124699975364,375,1,1.6097192307676558,0.967359539202614,0.0016559008038310773,0.7151097036434956,0.1099704743845803
S4,2,DE,0.9168974347282486,1.8818136023564553,4.635784020705987,0.24685869180148146,0.2,0.8,0.8989869000884202,0.9977745422253019,0.00222545777469799,1.1440857892068839,0.8728934360300739,0.2588432409610314,0.14386859701204696,0.38159561502716394,0.17,1.007328699924983,375,1,1.7944159277838878,1.5080508145199047,0.00222545777469799,0.8902990178154496,0.12710656396992615
S4,2,Local-only,0.8243411554303375,1.87162987610361,4.668085034428062,0.18663893398385986,0.17,0.83,0.8116586397406202,1.0,0.0,0.0,0.8881344397065499,0.31808727039092244,0.1801960725867705,0.3549023258146581,0.0,0.0004415001021698117,1,1,1.795866003501249,1.0,0.0,0.8343792820440309,0.11186556029345007
S4,2,Random-feasible,1.020678458890325,2.026034134535579,4.668085034428062,0.3424002080816651,0.29,0.71,1.1730120662636796,0.9965189995911851,0.003481000408814902,1.0880133726252017,0.8810541053651887,0.2983410053031711,0.01942669880764031,0.36742900692591035,0.22,0.0029516000067815185,1,1,1.8364740544380225,1.9545029740466036,0.003481000408814902,0.9993856595873772,0.11894589463481131
S4,2,Max-SINR,0.27710155350049,0.6821873399159063,1.9425749118586746,0.07798194618996472,0.84,0.16,0.13546711616155732,0.9978201185039111,0.002179881496088871,1.019768685375143,0.9720479840777688,0.5525481608459107,0.22975804830932958,0.16957534743765668,0.85,0.001520100049674511,1,1,0.6472433218806491,0.5272653268542912,0.002179881496088871,0.12628858125852618,0.027952015922231177
S4,2,Delay-Greedy,0.3092315627861236,0.72261393248505,1.7181966443570378,0.0942850083213577,0.85,0.15,0.11109990172534598,0.9984774853184148,0.001522514681584951,1.019953859125567,0.9772574297061386,0.5664198506675354,0.22975804830932958,0.15255107852440017,0.87,0.004841299960389733,1,1,0.6411435646280337,0.7647365076756009,0.001522514681584951,0.12207722798951558,0.022742570293861397
