scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,reference_objective,reference_type,reference_gap_percent
S0-small,7,GA,0.1293140961432473,0.34784319866294405,1.2998318598124752,0.012722167936522616,0.8333333333333334,0.16666666666666666,0.12809003361045082,0.9999908870600484,9.112939951686863e-06,1.0014788866043092,0.9704184896748509,0.6740649007548233,0.5654380935530011,0.17459453292461372,0.8333333333333334,0.18066800001543015,600,1,0.2835031361473213,0.19988254445129824,9.112939951686863e-06,0.09606752520783812,0.029581510325149107,0.042562992202069376,best observed: high-budget DE/RFOTO-ABC plus compared runs,203.81815152779637
S0-small,7,PSO,0.341982607490824,0.6703955507129328,1.6019585169841868,0.058695030914815816,0.5,0.5,0.2478024931480224,1.0,0.0,1.0,0.9571698444129892,0.5846316606430011,0.5654380935530011,0.21153406838171843,0.5,0.19532439997419715,600,1,0.7808482972998873,0.5098208381073757,0.0,0.25549153644677697,0.042830155587010754,0.042562992202069376,best observed: high-budget DE/RFOTO-ABC plus compared runs,703.4740740670884
S0-small,7,DE,0.15405081487576897,0.38425799811187794,1.3077655565988806,0.020892960351394426,0.8333333333333334,0.16666666666666666,0.12809003361045082,0.9999991351342148,8.648657851180926e-07,1.000455596080347,0.9704176929527364,0.6740772728660731,0.5654380935530011,0.17459695576862197,0.8333333333333334,0.2976236999966204,600,1,0.3401885092091926,0.2703285816084316,8.648657851180926e-07,0.09606752520783812,0.029582307047263612,0.042562992202069376,best observed: high-budget DE/RFOTO-ABC plus compared runs,261.9360550226521
S0-small,7,Delay-Greedy,0.13015432667844656,0.35206021885205296,1.3092672166117498,0.012777855311553806,0.8333333333333334,0.16666666666666666,0.12809003361045082,0.9999908870600484,9.112939951686863e-06,1.0014788866043092,0.9704184896748509,0.6740649007548233,0.5654380935530011,0.17459453292461372,0.8333333333333334,0.0004582999972626567,1,1,0.2841732271401095,0.20436726303131306,9.112939951686863e-06,0.09606752520783812,0.029581510325149107,0.042562992202069376,best observed: high-budget DE/RFOTO-ABC plus compared runs,205.79223862019398
S0-small,8,RFOTO-ABC,0.10498849587446166,0.3071210777055361,0.5777587687502747,0.023678793223493432,1.0,0.0,0.0,0.996961051778224,0.00303894822177588,1.0694968608868285,0.9999542560890475,0.9863844609767884,0.9818834638411766,0.006763579194879557,1.0,0.20455090003088117,600,1,0.27420240377777144,0.23882162466013834,0.00303894822177588,0.0,4.5743910952467104e-05,0.08579994776179328,best observed: high-budget DE/RFOTO-ABC plus compared runs,22.364288805794626
S0-small,8,Standard-ABC,0.09174688116822091,0.2586223922143401,0.48253500400988875,0.019056512004418515,1.0,0.0,0.0,0.9942750265178137,0.005724973482186184,1.102813030615444,0.99985891865493,0.9753888551147032,0.9679277724410073,0.011878604791636833,1.0,0.16458480001892895,600,1,0.25607025744273426,0.17708773272893077,0.005724973482186184,0.0,0.00014108134506995995,0.08579994776179328,best observed: high-budget DE/RFOTO-ABC plus compared runs,6.931162036296482
S0-small,8,GA,0.09340119039799999,0.2621661491657768,0.4393432538575409,0.023400602400522535,1.0,0.0,0.0,0.9912761402251585,0.008723859774841561,1.1164612792258337,0.9996715940237921,0.9627054909824868,0.9511558288439239,0.018124951368075758,1.0,0.1595459000673145,600,1,0.2461302728805802,0.20049726217636962,0.008723859774841561,0.0,0.0003284059762078684,0.08579994776179328,best observed: high-budget DE/RFOTO-ABC plus compared runs,8.859262545602085
S0-small,8,PSO,0.4668814323826046,1.222077299261542,2.4782796700015313,0.12602564678935538,0.5,0.5,0.6111493634032436,0.9999994350690763,5.649309235596552e-07,1.0079879603193476,0.8756929819593795,0.40571054579680677,0.3931003151919591,0.376766160677623,0.5,0.12747179996222258,600,1,0.9503810034936462,0.5753747336033503,5.649309235596552e-07,0.4973352231056509,0.1243070180406205,0.08579994776179328,best observed: high-budget DE/RFOTO-ABC plus compared runs,444.1511848921042
S0-small,8,DE,0.3038601142789634,0.8753290428280306,2.274041196582453,0.12096768242833338,0.6666666666666666,0.3333333333333333,0.35383604270897456,0.999558514635439,0.00044148536456099324,1.04534921508841,0.9216244119764538,0.46645778494461665,0.4435412376113499,0.29161739169308115,0.6666666666666666,0.16275700007099658,600,1,0.628998640053913,0.4654134019728078,0.00044148536456099324,0.2598152347724795,0.07837558802354616,0.08579994776179328,best observed: high-budget DE/RFOTO-ABC plus compared runs,254.14953296075586
S0-small,8,Delay-Greedy,0.2282734647687049,0.5288492259919904,1.7157373585182358,0.0556262563302039,0.8333333333333334,0.16666666666666666,0.20909696596473085,0.9995578574178147,0.0004421425821852972,1.0391784656954255,0.9503889332296886,0.5819945475580562,0.4435412376113499,0.2284749534651255,0.8333333333333334,0.0004971999442204833,1,1,0.48696334378941586,0.33832929531670786,0.0004421425821852972,0.1930125839674439,0.04961106677031135,0.08579994776179328,best observed: high-budget DE/RFOTO-ABC plus compared runs,166.05315122389277
S0-small,9,RFOTO-ABC,0.05289955896486781,0.16907689942459925,0.24283523237760685,0.019255026374038028,1.0,0.0,0.0,0.9928996047704594,0.007100395229540646,1.0460260719211845,0.9997477528894622,0.9681817452127881,0.957633712807497,0.015884292718547636,1.0,0.1901230999501422,600,1,0.14303881208829455,0.1045462655353691,0.007100395229540646,0.0,0.0002522471105378399,0.05205650786439382,best observed: high-budget DE/RFOTO-ABC plus compared runs,1.6194922307699149
