scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,additional_blockage_probability
S4,5,RFOTO-ABC,0.25083668635450174,0.6550378282272904,1.4618410692275305,0.07962349063811366,0.88,0.12,0.05407420116028287,0.997619169148426,0.0023808308515740296,1.0240671550361171,0.9879267093506089,0.6592887725242217,0.520356425224199,0.11054789169734727,0.86,0.8448456999612972,350,1,0.5583541668652987,0.6557998157198911,0.0023808308515740296,0.04236405004987957,0.01207329064939111,0.0
S4,5,RFOTO-ABC-R,0.24505205299185007,0.6569854130273656,1.2945644092378767,0.07927553092202964,0.88,0.12,0.05301585144383705,0.9977047889247053,0.002295211075294885,1.0245306076648693,0.9880838463881441,0.6592887725242217,0.520356425224199,0.10981739737069013,0.85,0.7624688000651076,350,1,0.5578880548653505,0.6192636968158548,0.002295211075294885,0.041776077985187454,0.01191615361185594,0.0
S4,5,Standard-ABC,0.6894716893609402,1.5023261256006786,4.203857336780479,0.18587380982566667,0.38,0.62,0.623897131306733,0.9987446904902901,0.0012553095097098033,1.05416971351369,0.8893448967862049,0.3105343377034814,0.20475536923947463,0.3527366736370463,0.34,0.9556690000463277,350,1,1.4358155197772817,1.0754874073832936,0.0012553095097098033,0.6093814837004585,0.11065510321379513,0.0
S4,5,Max-SINR,0.22830373322455677,0.573865079257435,1.4478500938792476,0.06946448640571193,0.88,0.12,0.03957858283077077,0.9982345726600719,0.0017654273399281906,1.0214351988722277,0.9915572319082344,0.8845852308297205,0.520356425224199,0.09227489015049732,0.93,0.0016312000807374716,1,1,0.5576315740232385,0.5307816366913719,0.0017654273399281906,0.030636374133163596,0.008442768091765585,0.0
S4,6,RFOTO-ABC,0.22649249090699078,0.6477397594778119,1.6099845039243883,0.08234098546355872,0.9,0.1,0.0450883001466185,0.9984117139044492,0.0015882860955509482,1.0182937136179768,0.9897988323671357,0.780172023748308,0.4507761652578019,0.10151996831810904,0.86,0.8830997999757528,350,1,0.5225300590860448,0.5610244450197698,0.0015882860955509482,0.039433908073897156,0.010201167632864272,0.0
S4,6,RFOTO-ABC-R,0.22369317630348565,0.6371964953257819,1.6131237007041164,0.08019864441497011,0.91,0.09,0.045243304229542806,0.9985601410499001,0.0014398589500999193,1.0174395482512044,0.9897884247594336,0.7789065080889881,0.4507761652578019,0.10157227633634702,0.85,0.8270424000220373,350,1,0.5132102607750132,0.5579203620266765,0.0014398589500999193,0.03953139491850363,0.010211575240566373,0.0
S4,6,Standard-ABC,0.7319575259113262,1.7550160276874955,4.813776906088029,0.2489219216315467,0.36,0.64,0.732978178602836,0.9976880396623302,0.0023119603376697585,1.052931940130333,0.8827315323201373,0.2971916839136631,0.08965249858273215,0.3644821842017599,0.27,1.0490381999406964,350,1,1.519061366281042,1.0407281240710027,0.0023119603376697585,0.712121214043608,0.11726846767986265,0.0
S4,6,Max-SINR,0.2118468149660072,0.565911461549172,1.4690120742525687,0.07256757178241253,0.93,0.07,0.03632963592093433,0.9980284146723369,0.001971585327663261,1.0263924591828206,0.9915383383964739,0.8680459731232946,0.4507761652578019,0.0923789605021831,0.99,0.0023436000337824225,1,1,0.5233358234505293,0.4737233579155697,0.001971585327663261,0.033163156439911495,0.008461661603526127,0.0
S4,7,RFOTO-ABC,0.25934335318917373,0.6550222416151901,1.4487020621917723,0.09678062046572129,0.89,0.11,0.06844685817005573,0.9975021054547177,0.002497894545282134,1.0260350238676328,0.9853126076590535,0.6688965939497301,0.2995970414922582,0.12209147152904708,0.9,0.8397568999789655,350,1,0.542681314531784,0.6941596625004308,0.002497894545282134,0.06738554968385872,0.014687392340946515,0.0
S4,7,RFOTO-ABC-R,0.2610359781703848,0.6529181016448945,1.543052040796031,0.09520295154610067,0.88,0.12,0.072206380205921,0.9974989065101855,0.0025010934898142823,1.0256304964108616,0.9846185361056509,0.6355071345579335,0.2995970414922582,0.12498699639026734,0.89,0.7830040999688208,350,1,0.5405842402367402,0.7001556224286156,0.0025010934898142823,0.07223654585916876,0.015381463894349134,0.0
