suite,contrast,scenario,budget,initialization,reference,comparator,n,reference_mean,comparator_mean,mean_paired_difference,mean_relative_gain_pct,ci_low_pct,ci_high_pct,p_raw,wins,ties,losses,p_holm
controlled,matched_search,S4,1000,random,RFOTO-ABC,LSHADE-lite,20,0.5270935581721794,0.5559019872578708,0.028808429085691367,5.175553639016558,2.6218443888758944,7.644688199601299,0.0015072868413933233,17,0,3,0.04823317892458635
controlled,matched_search,S4,1000,random,RFOTO-ABC,Plain-ABC,20,0.5270935581721794,0.6366734498197197,0.1095798916475402,17.1458156463692,15.37033839279821,18.724373904055636,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,matched_search,S6,320,greedy,RFOTO-ABC,DE-RK,20,0.37507571274089746,0.379926578273359,0.004850865532461515,1.2753900074154054,0.7275930543764015,1.9456142675054624,0.00019643672621231134,18,2,0,0.00744026445780538
controlled,matched_search,S6,320,greedy,RFOTO-ABC,LSHADE-lite,20,0.37507571274089746,0.3797475747697775,0.00467186202888002,1.2315573618332922,0.6778927486931954,1.9087227412699486,0.00019643672621231134,18,2,0,0.00744026445780538
controlled,matched_search,S6,320,greedy,RFOTO-ABC,No-fair-selection,20,0.37507571274089746,0.37497192419231856,-0.00010378854857890085,-0.00801038320240676,-0.2984182455050635,0.3067609757589429,0.5097974849608639,4,6,10,1.0
controlled,matched_search,S6,320,greedy,RFOTO-ABC,No-risk-sampling,20,0.37507571274089746,0.3776779171507171,0.0026022044098196,0.6859508161883162,0.017916424965382583,1.4463145676393978,0.1789561131984324,12,0,8,1.0
controlled,matched_search,S6,320,greedy,RFOTO-ABC,Plain-ABC,20,0.37507571274089746,0.3777450569204267,0.0026693441795292176,0.7157810771729383,0.0888375192606672,1.4441756122257021,0.05691459258521418,13,0,7,1.0
controlled,matched_search,S6,320,greedy,RFOTO-ABC,Random-scout,20,0.37507571274089746,0.37507571274089746,0.0,0.0,0.0,0.0,1.0,0,20,0,1.0
controlled,matched_search,S6,320,greedy,RFOTO-ABC,Uniform-allocation,20,0.37507571274089746,0.34828648934361445,-0.026789223397283103,-7.702458441882992,-8.730272567089516,-6.683399648647291,8.857457687863547e-05,0,0,20,0.00744026445780538
controlled,matched_search,S6,320,random,RFOTO-ABC,DE-RK,20,0.7408106041356441,0.776146337647978,0.0353357335123337,4.501820660908105,3.45801435724404,5.650873732059442,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,matched_search,S6,320,random,RFOTO-ABC,LSHADE-lite,20,0.7408106041356441,0.724498047613531,-0.016312556522113254,-2.3278763995567227,-3.5337827502772057,-1.0351886337927474,0.00803442885556667,3,0,17,0.2329984368114334
controlled,matched_search,S6,320,random,RFOTO-ABC,Plain-ABC,20,0.7408106041356441,0.7751483764852248,0.03433777234958042,4.377128094242406,3.5116250266175912,5.207571843527528,0.00010334649564653764,19,0,1,0.00744026445780538
controlled,matched_search,S6,1000,greedy,RFOTO-ABC,DE-RK,20,0.37125474107446677,0.379926578273359,0.008671837198892201,2.2574044085522806,1.4541457949332537,3.1661889160708565,0.00019643672621231134,18,2,0,0.00744026445780538
controlled,matched_search,S6,1000,greedy,RFOTO-ABC,LSHADE-lite,20,0.37125474107446677,0.3791857554193159,0.00793101434484913,2.072689504599001,1.2571977053669197,3.0017014707260063,0.0001821819171706161,18,1,1,0.00744026445780538
controlled,matched_search,S6,1000,greedy,RFOTO-ABC,No-fair-selection,20,0.37125474107446677,0.3706030630759615,-0.0006516779985053262,-0.16695744216064592,-0.5311475217108611,0.15221077198422683,0.4204264735837405,7,2,11,1.0
controlled,matched_search,S6,1000,greedy,RFOTO-ABC,No-risk-sampling,20,0.37125474107446677,0.37441651552169997,0.003161774447233151,0.8210089401122979,-0.08309388478768467,1.7500749969661706,0.10842674449200547,12,0,8,1.0
controlled,matched_search,S6,1000,greedy,RFOTO-ABC,Plain-ABC,20,0.37125474107446677,0.3753244183894874,0.004069677315020534,1.0467956333579966,0.14803379669728292,2.0195184260967465,0.04380372353657391,13,0,7,1.0
controlled,matched_search,S6,1000,greedy,RFOTO-ABC,Random-scout,20,0.37125474107446677,0.37119487942568463,-5.986164878221956e-05,-0.014503737498247418,-0.06993567831259445,0.0347974971563124,0.5929800980174267,1,17,2,1.0
controlled,matched_search,S6,1000,greedy,RFOTO-ABC,Uniform-allocation,20,0.37125474107446677,0.3463983652002335,-0.024856375874233363,-7.195390724679086,-8.096758928514852,-6.274273422877715,8.857457687863547e-05,0,0,20,0.00744026445780538
controlled,matched_search,S6,1000,random,RFOTO-ABC,DE-RK,20,0.6764557757459013,0.7666573427168595,0.09020156697095813,11.729899198515472,10.631469896565287,12.807217808132622,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,matched_search,S6,1000,random,RFOTO-ABC,LSHADE-lite,20,0.6764557757459013,0.6762605505159726,-0.0001952252299288526,-0.1086679969081868,-1.1141719976312734,0.9322872947936035,0.910824985273362,9,0,11,1.0
controlled,matched_search,S6,1000,random,RFOTO-ABC,Plain-ABC,20,0.6764557757459013,0.7442101898096669,0.06775441406376555,9.051829281886915,8.065672616906618,10.06952265779705,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S2,320,paired greedy versus random,DE-RK greedy,DE-RK random,20,0.20988005848837074,0.556925604714961,0.3470455462265903,62.351079593670235,60.351630438695025,64.33092856173556,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S2,320,paired greedy versus random,LSHADE-lite greedy,LSHADE-lite random,20,0.20684999933502707,0.43746914147918936,0.23061914214416226,52.651766031392334,50.1963949916177,54.80728928854526,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S2,320,paired greedy versus random,Plain-ABC greedy,Plain-ABC random,20,0.20277085638943343,0.5208210475961135,0.31805019120668004,61.03710521195287,58.83187712248992,63.16051845806794,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S2,320,paired greedy versus random,RFOTO-ABC greedy,RFOTO-ABC random,20,0.19740153433753407,0.4557363859518128,0.2583348516142788,56.55580825921679,54.588228534261745,58.454596926568136,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S2,1000,paired greedy versus random,DE-RK greedy,DE-RK random,20,0.20988005848837074,0.5325632528378136,0.32268319434944276,60.49954974984895,57.9670653158113,62.97389722795283,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S2,1000,paired greedy versus random,LSHADE-lite greedy,LSHADE-lite random,20,0.19445735304249004,0.3425508418096851,0.14809348876719503,43.00354015340266,40.313181297334665,45.3994855238915,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S2,1000,paired greedy versus random,Plain-ABC greedy,Plain-ABC random,20,0.19347427648312335,0.44052854921749074,0.24705427273436734,56.10635079425251,54.16793780457372,58.05373603204904,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S2,1000,paired greedy versus random,RFOTO-ABC greedy,RFOTO-ABC random,20,0.18808162474781848,0.3469325955130996,0.158850970765281,45.82386996238665,43.707228262047856,47.884545801327896,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S4,320,paired greedy versus random,DE-RK greedy,DE-RK random,20,0.3058836628644911,0.6981766149321464,0.39229295206765524,56.19637690791219,54.11076342337504,58.2479256128263,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S4,320,paired greedy versus random,LSHADE-lite greedy,LSHADE-lite random,20,0.30425321265128885,0.6196758839332163,0.3154226712819274,50.91111689084443,48.594987587973385,53.25596260070871,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S4,320,paired greedy versus random,Plain-ABC greedy,Plain-ABC random,20,0.30085280575451206,0.6834956347697122,0.38264282901520014,55.93397413826278,53.905159918842216,57.97854226592396,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S4,320,paired greedy versus random,RFOTO-ABC greedy,RFOTO-ABC random,20,0.29552478305321794,0.6203851417906331,0.3248603587374152,52.34673614018543,50.41764390085084,54.2414386045207,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S4,1000,paired greedy versus random,DE-RK greedy,DE-RK random,20,0.3058836628644911,0.6817720591487763,0.37588839628428505,55.15653731279419,53.14405371603829,57.1735310717571,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S4,1000,paired greedy versus random,LSHADE-lite greedy,LSHADE-lite random,20,0.2997610407616765,0.5559019872578708,0.2561409464961944,46.12999697860361,44.00964244799802,48.143955411999855,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S4,1000,paired greedy versus random,Plain-ABC greedy,Plain-ABC random,20,0.2932342602151343,0.6366734498197197,0.34343918960458525,53.942892206314596,52.248988862097455,55.64703344657665,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S4,1000,paired greedy versus random,RFOTO-ABC greedy,RFOTO-ABC random,20,0.29336955910622764,0.5270935581721794,0.23372399906595182,44.311421402898404,42.07889369080526,46.47923702240976,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S6,320,paired greedy versus random,DE-RK greedy,DE-RK random,20,0.379926578273359,0.776146337647978,0.39621975937461906,51.06692959848322,50.078103282292076,52.045103052981084,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S6,320,paired greedy versus random,LSHADE-lite greedy,LSHADE-lite random,20,0.3797475747697775,0.724498047613531,0.3447504728437536,47.61812680574032,46.822628107371926,48.388157253374104,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S6,320,paired greedy versus random,Plain-ABC greedy,Plain-ABC random,20,0.3777450569204267,0.7751483764852248,0.3974033195647981,51.25883967252666,50.14518866580722,52.3289880611245,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S6,320,paired greedy versus random,RFOTO-ABC greedy,RFOTO-ABC random,20,0.37507571274089746,0.7408106041356441,0.3657348913947469,49.39044799058848,48.27904184481139,50.502747195219754,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S6,1000,paired greedy versus random,DE-RK greedy,DE-RK random,20,0.379926578273359,0.7666573427168595,0.3867307644435004,50.46786486389787,49.53284301432721,51.374445391566105,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S6,1000,paired greedy versus random,LSHADE-lite greedy,LSHADE-lite random,20,0.3791857554193159,0.6762605505159726,0.2970747950966565,43.9366247380873,43.064409068117605,44.86106680950558,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S6,1000,paired greedy versus random,Plain-ABC greedy,Plain-ABC random,20,0.3753244183894874,0.7442101898096669,0.36888577142017953,49.572049439258116,48.496844137774225,50.62795327011946,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,initialization,S6,1000,paired greedy versus random,RFOTO-ABC greedy,RFOTO-ABC random,20,0.37125474107446677,0.6764557757459013,0.3052010346714344,45.13686847381889,44.030147385388325,46.21635381216069,8.857457687863547e-05,20,0,0,0.00744026445780538
