suite,scenario,budget,initialization,algorithm,theta,objective_mean,objective_std,violation_rate_mean,violation_rate_std,jain_mean,jain_std,r_hat_mean,r_hat_std,initial_objective_mean,initial_objective_std,initial_to_final_gain_pct_mean,initial_to_final_gain_pct_std,scout_count_mean,scout_count_std,accepted_neighbors_mean,accepted_neighbors_std,runtime_s_mean,runtime_s_std
controlled,S2,1000,random,LSHADE-lite,0.8,0.3425508418096851,0.042243428478412046,0.3,0.0739843511191814,0.9632178544239688,0.010645919521798969,0.00266344284762462,0.0013940448971231137,0.6004136141304357,0.0729697170156679,42.47733255504381,7.719666304846468,-1.0,0.0,-1.0,0.0,1.8167306749986891,0.22804702889687722
controlled,S2,1000,random,Plain-ABC,0.8,0.44052854921749074,0.04880225081268661,0.398,0.06614179345999972,0.9362024897448423,0.017724469108982795,0.0032888199123469603,0.0013726238976296394,0.6004136141304357,0.0729697170156679,26.376500262027797,5.5323845358053,0.0,0.0,228.5,13.82408272392402,1.6809796699995787,0.22020047567785878
controlled,S2,1000,random,RFOTO-ABC,0.8,0.34693259551309946,0.038749191124379134,0.31,0.061729460679561046,0.9755122315309143,0.010877942991873966,0.00287161801707452,0.0013572714171653953,0.6004136141304357,0.0729697170156679,41.93859497232304,5.4628654989485295,0.0,0.0,260.15,28.06060171167134,1.807682690000729,0.2237407717141336
controlled,S4,320,greedy,DE-RK,0.8,0.3058836628644911,0.03961093208128374,0.144,0.02980639281482379,0.9789917196449144,0.007098778923644797,0.00176311904555515,0.00071876976175437,0.3058836628644911,0.03961093208128373,-7.822680329582937e-16,7.582263981066067e-15,-1.0,0.0,-1.0,0.0,0.8297777100000531,0.03133485654674058
controlled,S4,320,greedy,LSHADE-lite,0.8,0.3042532126512888,0.037597095035887755,0.14650000000000002,0.03703128122916738,0.9792845980770517,0.006825996649282737,0.0018111409887916652,0.000756367828444592,0.3058836628644911,0.03961093208128373,0.46518325572572705,1.3241329002854239,-1.0,0.0,-1.0,0.0,0.820230530000481,0.03265858512229419
controlled,S4,320,greedy,No-fair-selection,0.8,0.29721119064501617,0.03793225897214544,0.14350000000000002,0.03587624929055286,0.9802994140633305,0.007829110323888899,0.001718183344843765,0.0007821352915064374,0.3058836628644911,0.03961093208128373,2.732392109351566,3.775006191010881,0.05,0.22360679774997894,66.35,8.493186123376539,0.8369449049994728,0.046170029912966384
controlled,S4,320,greedy,No-risk-sampling,0.8,0.29954974253037714,0.034129111955525815,0.142,0.02566997016790344,0.9795555646352844,0.006435402771748792,0.001811918256240605,0.0006448237208264259,0.3058836628644911,0.03961093208128373,1.8896418313547811,2.4571191606398033,0.0,0.0,57.55,7.38045070653405,0.8388490099991032,0.04775229931842744
controlled,S4,320,greedy,Plain-ABC,0.8,0.300852805754512,0.039509214978903376,0.14450000000000002,0.029464519251751625,0.9787160752652746,0.007199606918428903,0.0017271462277158901,0.0007766335522456743,0.3058836628644911,0.03961093208128373,1.6423284329083163,1.6541247688471168,0.05,0.22360679774997894,43.85,6.132527597723642,0.7704282949995104,0.0447507052737447
controlled,S4,320,greedy,RFOTO-ABC,0.8,0.29552478305321794,0.03482379683911458,0.14250000000000002,0.03242400020777332,0.9810396917097222,0.006289119722977548,0.00183155503472723,0.0007810570724955706,0.3058836628644911,0.03961093208128373,3.1880507426045277,3.7651818553494665,0.0,0.0,66.35,7.22768799023661,0.8393809750006767,0.04994772506322984
controlled,S4,320,greedy,Random-scout,0.8,0.29552478305321794,0.03482379683911458,0.14250000000000002,0.03242400020777332,0.9810396917097222,0.006289119722977548,0.00183155503472723,0.0007810570724955706,0.3058836628644911,0.03961093208128373,3.1880507426045277,3.7651818553494665,0.0,0.0,66.35,7.22768799023661,0.8343145700000605,0.04887983283387338
controlled,S4,320,greedy,Uniform-allocation,0.8,0.2749103136583462,0.03126555111642616,0.11950000000000001,0.02584875035155166,0.980816500210819,0.0063980748159119805,0.001917159689273405,0.0008153627650544187,0.27642801854946286,0.031246798685515456,0.5530328154417654,0.7110400252493668,0.2,0.41039134083406165,60.0,9.915431885383724,0.5577758749990608,0.03770676793203598
controlled,S4,320,random,DE-RK,0.8,0.6981766149321463,0.03992965923831044,0.646,0.037190830788473156,0.884516817418573,0.008235114486556807,0.001869062564185435,0.0007779935814674894,0.7116581675936662,0.04988188469303591,1.8003651306611477,1.947881113224691,-1.0,0.0,-1.0,0.0,0.8651841349994356,0.028284445617374396
controlled,S4,320,random,LSHADE-lite,0.8,0.6196758839332163,0.025919320842029154,0.5934999999999999,0.032811262507992885,0.8980559928415804,0.00860891346656009,0.00232184401309739,0.000978749070046524,0.7116581675936662,0.04988188469303591,12.694711654856953,4.2008389725441075,-1.0,0.0,-1.0,0.0,0.9247507500007487,0.030578527634947027
controlled,S4,320,random,Plain-ABC,0.8,0.6834956347697122,0.05449310698656163,0.6214999999999999,0.041329866860865205,0.8871163290182036,0.010366931130318911,0.001883053247386485,0.0009916220300262128,0.7116581675936662,0.04988188469303591,3.9963458879794893,2.5317562876899724,0.0,0.0,47.75,7.1515548548623515,0.8566031300004397,0.04347146435749889
controlled,S4,320,random,RFOTO-ABC,0.8,0.6203851417906331,0.04383260410274879,0.5820000000000001,0.033497839678968744,0.9034268658069875,0.01208049083463105,0.002212773556451425,0.0009890230807643658,0.7116581675936662,0.04988188469303591,12.721319136552145,4.383187775782577,0.0,0.0,79.15,10.080074143419887,0.9466636200002541,0.038506214326990626
